Start,End,Path
"(161, 46)","(95, 84)","[(161.0, 46.0), (161.0, 47.0), (161.0, 48.0), (161.0, 49.0), (161.0, 50.0), (161.0, 51.0), (161.0, 52.0), (161.0, 53.0), (161.0, 54.0), (161.0, 55.0), (161.0, 56.0), (161.0, 57.0), (161.0, 58.0), (161.0, 59.0), (161.0, 60.0), (161.0, 61.0), (161.0, 62.0), (161.0, 63.0), (161.0, 64.0), (161.0, 65.0), (161.0, 66.0), (161.0, 67.0), (161.0, 68.0), (161.0, 69.0), (161.0, 70.0), (161.0, 71.0), (161.0, 72.0), (161.0, 73.0), (161.0, 74.0), (161.0, 75.0), (161.0, 76.0), (161.0, 77.0), (161.0, 78.0), (161.0, 79.0), (161.0, 80.0), (161.0, 81.0), (160.0, 81.0), (160.0, 82.0), (160.0, 83.0), (159.0, 83.0), (158.0, 83.0), (157.0, 83.0), (156.0, 83.0), (155.0, 83.0), (154.0, 83.0), (153.0, 83.0), (152.0, 83.0), (151.0, 83.0), (150.0, 83.0), (149.0, 83.0), (148.0, 83.0), (147.0, 83.0), (146.0, 83.0), (145.0, 83.0), (144.0, 83.0), (143.0, 83.0), (142.0, 83.0), (141.0, 83.0), (140.0, 83.0), (139.0, 83.0), (138.0, 83.0), (137.0, 83.0), (136.0, 83.0), (135.0, 83.0), (134.0, 83.0), (133.0, 83.0), (132.0, 83.0), (131.0, 83.0), (130.0, 83.0), (129.0, 83.0), (128.0, 83.0), (127.0, 83.0), (126.0, 83.0), (125.0, 83.0), (124.0, 83.0), (123.0, 83.0), (122.0, 83.0), (121.0, 83.0), (120.0, 83.0), (119.0, 83.0), (118.0, 83.0), (117.0, 83.0), (116.0, 83.0), (115.0, 83.0), (114.0, 83.0), (113.0, 83.0), (112.0, 83.0), (111.0, 83.0), (110.0, 83.0), (109.0, 83.0), (108.0, 83.0), (107.0, 83.0), (106.0, 83.0), (105.0, 83.0), (104.0, 83.0), (103.0, 83.0), (102.0, 83.0), (101.0, 83.0), (100.0, 83.0), (99.0, 83.0), (98.0, 83.0), (97.0, 83.0), (96.0, 83.0), (95.0, 83.0), (95.0, 84.0)]"
"(95, 84)","(135, 60)","[(95.0, 84.0), (95.0, 83.0), (95.0, 82.0), (95.0, 81.0), (95.0, 80.0), (95.0, 79.0), (95.0, 78.0), (95.0, 77.0), (95.0, 76.0), (95.0, 75.0), (95.0, 74.0), (95.0, 73.0), (95.0, 72.0), (95.0, 71.0), (95.0, 70.0), (95.0, 69.0), (95.0, 68.0), (95.0, 67.0), (95.0, 66.0), (95.0, 65.0), (95.0, 64.0), (95.0, 63.0), (95.0, 62.0), (95.0, 61.0), (95.0, 60.0), (96.0, 60.0), (97.0, 60.0), (98.0, 60.0), (99.0, 60.0), (100.0, 60.0), (101.0, 60.0), (102.0, 60.0), (103.0, 60.0), (104.0, 60.0), (105.0, 60.0), (106.0, 60.0), (107.0, 60.0), (108.0, 60.0), (109.0, 60.0), (110.0, 60.0), (111.0, 60.0), (112.0, 60.0), (113.0, 60.0), (114.0, 60.0), (115.0, 60.0), (116.0, 60.0), (117.0, 60.0), (118.0, 60.0), (119.0, 60.0), (120.0, 60.0), (121.0, 60.0), (122.0, 60.0), (123.0, 60.0), (124.0, 60.0), (125.0, 60.0), (126.0, 60.0), (127.0, 60.0), (128.0, 60.0), (129.0, 60.0), (130.0, 60.0), (131.0, 60.0), (132.0, 60.0), (133.0, 60.0), (134.0, 60.0), (135.0, 60.0)]"
"(135, 60)","(161, 82)","[(135.0, 60.0), (135.0, 61.0), (135.0, 62.0), (135.0, 63.0), (135.0, 64.0), (135.0, 65.0), (135.0, 66.0), (135.0, 67.0), (135.0, 68.0), (135.0, 69.0), (135.0, 70.0), (135.0, 71.0), (135.0, 72.0), (135.0, 73.0), (135.0, 74.0), (135.0, 75.0), (135.0, 76.0), (135.0, 77.0), (135.0, 78.0), (135.0, 79.0), (136.0, 79.0), (137.0, 79.0), (138.0, 79.0), (139.0, 79.0), (140.0, 79.0), (141.0, 79.0), (142.0, 79.0), (143.0, 79.0), (144.0, 79.0), (145.0, 79.0), (146.0, 79.0), (147.0, 79.0), (148.0, 79.0), (149.0, 79.0), (150.0, 79.0), (151.0, 79.0), (152.0, 79.0), (153.0, 79.0), (154.0, 79.0), (155.0, 79.0), (156.0, 79.0), (157.0, 79.0), (158.0, 79.0), (159.0, 79.0), (160.0, 79.0), (160.0, 80.0), (161.0, 80.0), (162.0, 80.0), (162.0, 81.0), (161.0, 81.0), (161.0, 82.0)]"
"(161, 82)","(133, 82)","[(161.0, 82.0), (161.0, 83.0), (161.0, 84.0), (160.0, 84.0), (159.0, 84.0), (158.0, 84.0), (157.0, 84.0), (156.0, 84.0), (155.0, 84.0), (154.0, 84.0), (153.0, 84.0), (152.0, 84.0), (151.0, 84.0), (150.0, 84.0), (149.0, 84.0), (148.0, 84.0), (147.0, 84.0), (146.0, 84.0), (145.0, 84.0), (144.0, 84.0), (143.0, 84.0), (142.0, 84.0), (141.0, 84.0), (140.0, 84.0), (139.0, 84.0), (138.0, 84.0), (137.0, 84.0), (136.0, 84.0), (135.0, 84.0), (134.0, 84.0), (133.0, 84.0), (133.0, 83.0), (133.0, 82.0)]"
"(133, 82)","(105, 62)","[(133.0, 82.0), (133.0, 81.0), (133.0, 80.0), (133.0, 79.0), (133.0, 78.0), (133.0, 77.0), (133.0, 76.0), (133.0, 75.0), (133.0, 74.0), (133.0, 73.0), (133.0, 72.0), (133.0, 71.0), (133.0, 70.0), (133.0, 69.0), (133.0, 68.0), (133.0, 67.0), (133.0, 66.0), (133.0, 65.0), (133.0, 64.0), (133.0, 63.0), (132.0, 63.0), (131.0, 63.0), (130.0, 63.0), (129.0, 63.0), (128.0, 63.0), (127.0, 63.0), (126.0, 63.0), (125.0, 63.0), (124.0, 63.0), (123.0, 63.0), (122.0, 63.0), (121.0, 63.0), (120.0, 63.0), (119.0, 63.0), (118.0, 63.0), (117.0, 63.0), (116.0, 63.0), (115.0, 63.0), (114.0, 63.0), (113.0, 63.0), (112.0, 63.0), (111.0, 63.0), (110.0, 63.0), (109.0, 63.0), (108.0, 63.0), (107.0, 63.0), (106.0, 63.0), (105.0, 63.0), (105.0, 62.0)]"
"(91, 62)","(91, 46)","[(91.0, 62.0), (91.0, 61.0), (91.0, 60.0), (91.0, 59.0), (91.0, 58.0), (91.0, 57.0), (91.0, 56.0), (91.0, 55.0), (91.0, 54.0), (91.0, 53.0), (91.0, 52.0), (91.0, 51.0), (91.0, 50.0), (91.0, 49.0), (91.0, 48.0), (91.0, 47.0), (91.0, 46.0)]"
"(91, 46)","(97, 62)","[(91.0, 46.0), (92.0, 46.0), (92.0, 47.0), (92.0, 48.0), (92.0, 49.0), (92.0, 50.0), (92.0, 51.0), (92.0, 52.0), (92.0, 53.0), (92.0, 54.0), (92.0, 55.0), (92.0, 56.0), (92.0, 57.0), (92.0, 58.0), (92.0, 59.0), (92.0, 60.0), (92.0, 61.0), (92.0, 62.0), (93.0, 62.0), (94.0, 62.0), (95.0, 62.0), (96.0, 62.0), (97.0, 62.0)]"
"(93, 96)","(129, 134)","[(93.0, 96.0), (93.0, 97.0), (93.0, 98.0), (93.0, 99.0), (93.0, 100.0), (93.0, 101.0), (93.0, 102.0), (93.0, 103.0), (93.0, 104.0), (93.0, 105.0), (93.0, 106.0), (93.0, 107.0), (93.0, 108.0), (93.0, 109.0), (93.0, 110.0), (93.0, 111.0), (93.0, 112.0), (93.0, 113.0), (93.0, 114.0), (93.0, 115.0), (93.0, 116.0), (93.0, 117.0), (93.0, 118.0), (93.0, 119.0), (93.0, 120.0), (93.0, 121.0), (94.0, 121.0), (94.0, 122.0), (94.0, 123.0), (94.0, 124.0), (94.0, 125.0), (94.0, 126.0), (94.0, 127.0), (94.0, 128.0), (94.0, 129.0), (94.0, 130.0), (94.0, 131.0), (94.0, 132.0), (94.0, 133.0), (95.0, 133.0), (96.0, 133.0), (97.0, 133.0), (98.0, 133.0), (99.0, 133.0), (100.0, 133.0), (100.0, 134.0), (101.0, 134.0), (102.0, 134.0), (103.0, 134.0), (104.0, 134.0), (105.0, 134.0), (106.0, 134.0), (107.0, 134.0), (108.0, 134.0), (109.0, 134.0), (110.0, 134.0), (111.0, 134.0), (112.0, 134.0), (113.0, 134.0), (114.0, 134.0), (115.0, 134.0), (116.0, 134.0), (117.0, 134.0), (118.0, 134.0), (119.0, 134.0), (120.0, 134.0), (121.0, 134.0), (122.0, 134.0), (123.0, 134.0), (124.0, 134.0), (125.0, 134.0), (126.0, 134.0), (127.0, 134.0), (128.0, 134.0), (129.0, 134.0)]"
"(129, 134)","(145, 82)","[(129.0, 134.0), (129.0, 133.0), (129.0, 132.0), (129.0, 131.0), (129.0, 130.0), (129.0, 129.0), (129.0, 128.0), (129.0, 127.0), (129.0, 126.0), (129.0, 125.0), (129.0, 124.0), (129.0, 123.0), (129.0, 122.0), (129.0, 121.0), (129.0, 120.0), (129.0, 119.0), (129.0, 118.0), (129.0, 117.0), (129.0, 116.0), (129.0, 115.0), (129.0, 114.0), (129.0, 113.0), (129.0, 112.0), (129.0, 111.0), (129.0, 110.0), (129.0, 109.0), (129.0, 108.0), (129.0, 107.0), (129.0, 106.0), (129.0, 105.0), (129.0, 104.0), (129.0, 103.0), (129.0, 102.0), (129.0, 101.0), (129.0, 100.0), (129.0, 99.0), (129.0, 98.0), (129.0, 97.0), (129.0, 96.0), (129.0, 95.0), (129.0, 94.0), (129.0, 93.0), (129.0, 92.0), (129.0, 91.0), (129.0, 90.0), (129.0, 89.0), (129.0, 88.0), (129.0, 87.0), (129.0, 86.0), (129.0, 85.0), (130.0, 85.0), (131.0, 85.0), (132.0, 85.0), (133.0, 85.0), (134.0, 85.0), (135.0, 85.0), (136.0, 85.0), (137.0, 85.0), (138.0, 85.0), (139.0, 85.0), (140.0, 85.0), (140.0, 84.0), (140.0, 83.0), (140.0, 82.0), (141.0, 82.0), (142.0, 82.0), (143.0, 82.0), (144.0, 82.0), (145.0, 82.0)]"
"(145, 82)","(113, 82)","[(145.0, 82.0), (145.0, 81.0), (144.0, 81.0), (143.0, 81.0), (142.0, 81.0), (141.0, 81.0), (140.0, 81.0), (139.0, 81.0), (138.0, 81.0), (137.0, 81.0), (136.0, 81.0), (135.0, 81.0), (134.0, 81.0), (134.0, 82.0), (133.0, 82.0), (132.0, 82.0), (131.0, 82.0), (130.0, 82.0), (129.0, 82.0), (128.0, 82.0), (127.0, 82.0), (126.0, 82.0), (125.0, 82.0), (124.0, 82.0), (123.0, 82.0), (122.0, 82.0), (121.0, 82.0), (120.0, 82.0), (119.0, 82.0), (118.0, 82.0), (117.0, 82.0), (116.0, 82.0), (115.0, 82.0), (114.0, 82.0), (113.0, 82.0)]"
"(113, 82)","(113, 82)","[(113.0, 82.0)]"
"(113, 82)","(137, 118)","[(113.0, 82.0), (113.0, 83.0), (113.0, 84.0), (113.0, 85.0), (113.0, 86.0), (113.0, 87.0), (113.0, 88.0), (113.0, 89.0), (113.0, 90.0), (113.0, 91.0), (113.0, 92.0), (113.0, 93.0), (113.0, 94.0), (113.0, 95.0), (113.0, 96.0), (113.0, 97.0), (113.0, 98.0), (113.0, 99.0), (113.0, 100.0), (113.0, 101.0), (113.0, 102.0), (113.0, 103.0), (113.0, 104.0), (113.0, 105.0), (113.0, 106.0), (113.0, 107.0), (113.0, 108.0), (113.0, 109.0), (113.0, 110.0), (113.0, 111.0), (113.0, 112.0), (113.0, 113.0), (113.0, 114.0), (113.0, 115.0), (113.0, 116.0), (113.0, 117.0), (114.0, 117.0), (115.0, 117.0), (116.0, 117.0), (117.0, 117.0), (118.0, 117.0), (119.0, 117.0), (120.0, 117.0), (121.0, 117.0), (122.0, 117.0), (123.0, 117.0), (124.0, 117.0), (125.0, 117.0), (126.0, 117.0), (127.0, 117.0), (128.0, 117.0), (129.0, 117.0), (130.0, 117.0), (131.0, 117.0), (132.0, 117.0), (133.0, 117.0), (134.0, 117.0), (135.0, 117.0), (136.0, 117.0), (136.0, 118.0), (137.0, 118.0)]"
"(137, 118)","(103, 118)","[(137.0, 118.0), (137.0, 119.0), (136.0, 119.0), (135.0, 119.0), (134.0, 119.0), (133.0, 119.0), (132.0, 119.0), (131.0, 119.0), (130.0, 119.0), (129.0, 119.0), (128.0, 119.0), (127.0, 119.0), (126.0, 119.0), (125.0, 119.0), (124.0, 119.0), (123.0, 119.0), (122.0, 119.0), (121.0, 119.0), (120.0, 119.0), (119.0, 119.0), (118.0, 119.0), (117.0, 119.0), (116.0, 119.0), (115.0, 119.0), (114.0, 119.0), (113.0, 119.0), (112.0, 119.0), (111.0, 119.0), (110.0, 119.0), (109.0, 119.0), (108.0, 119.0), (107.0, 119.0), (106.0, 119.0), (105.0, 119.0), (104.0, 119.0), (103.0, 119.0), (103.0, 118.0)]"
"(103, 118)","(139, 82)","[(103.0, 118.0), (103.0, 117.0), (103.0, 116.0), (103.0, 115.0), (103.0, 114.0), (103.0, 113.0), (103.0, 112.0), (103.0, 111.0), (103.0, 110.0), (103.0, 109.0), (103.0, 108.0), (103.0, 107.0), (103.0, 106.0), (103.0, 105.0), (103.0, 104.0), (103.0, 103.0), (103.0, 102.0), (103.0, 101.0), (103.0, 100.0), (103.0, 99.0), (103.0, 98.0), (103.0, 97.0), (103.0, 96.0), (103.0, 95.0), (103.0, 94.0), (103.0, 93.0), (103.0, 92.0), (103.0, 91.0), (103.0, 90.0), (103.0, 89.0), (103.0, 88.0), (103.0, 87.0), (104.0, 87.0), (105.0, 87.0), (106.0, 87.0), (106.0, 86.0), (107.0, 86.0), (108.0, 86.0), (109.0, 86.0), (110.0, 86.0), (111.0, 86.0), (112.0, 86.0), (113.0, 86.0), (114.0, 86.0), (115.0, 86.0), (116.0, 86.0), (117.0, 86.0), (118.0, 86.0), (119.0, 86.0), (120.0, 86.0), (121.0, 86.0), (122.0, 86.0), (123.0, 86.0), (124.0, 86.0), (125.0, 86.0), (126.0, 86.0), (127.0, 86.0), (128.0, 86.0), (129.0, 86.0), (130.0, 86.0), (131.0, 86.0), (132.0, 86.0), (133.0, 86.0), (134.0, 86.0), (135.0, 86.0), (136.0, 86.0), (136.0, 85.0), (136.0, 84.0), (136.0, 83.0), (136.0, 82.0), (137.0, 82.0), (138.0, 82.0), (139.0, 82.0)]"
"(99, 134)","(161, 120)","[(99.0, 134.0), (99.0, 133.0), (99.0, 132.0), (99.0, 131.0), (99.0, 130.0), (99.0, 129.0), (99.0, 128.0), (99.0, 127.0), (99.0, 126.0), (99.0, 125.0), (99.0, 124.0), (99.0, 123.0), (99.0, 122.0), (99.0, 121.0), (99.0, 120.0), (100.0, 120.0), (101.0, 120.0), (102.0, 120.0), (103.0, 120.0), (104.0, 120.0), (105.0, 120.0), (106.0, 120.0), (107.0, 120.0), (108.0, 120.0), (109.0, 120.0), (110.0, 120.0), (111.0, 120.0), (112.0, 120.0), (113.0, 120.0), (114.0, 120.0), (115.0, 120.0), (116.0, 120.0), (117.0, 120.0), (118.0, 120.0), (119.0, 120.0), (120.0, 120.0), (121.0, 120.0), (122.0, 120.0), (123.0, 120.0), (124.0, 120.0), (125.0, 120.0), (126.0, 120.0), (127.0, 120.0), (128.0, 120.0), (129.0, 120.0), (130.0, 120.0), (131.0, 120.0), (132.0, 120.0), (133.0, 120.0), (134.0, 120.0), (135.0, 120.0), (136.0, 120.0), (137.0, 120.0), (138.0, 120.0), (139.0, 120.0), (140.0, 120.0), (141.0, 120.0), (142.0, 120.0), (143.0, 120.0), (144.0, 120.0), (145.0, 120.0), (146.0, 120.0), (147.0, 120.0), (148.0, 120.0), (149.0, 120.0), (150.0, 120.0), (151.0, 120.0), (152.0, 120.0), (153.0, 120.0), (154.0, 120.0), (155.0, 120.0), (156.0, 120.0), (157.0, 120.0), (158.0, 120.0), (159.0, 120.0), (160.0, 120.0), (161.0, 120.0)]"
"(161, 120)","(139, 118)","[(161.0, 120.0), (161.0, 119.0), (160.0, 119.0), (159.0, 119.0), (158.0, 119.0), (157.0, 119.0), (156.0, 119.0), (155.0, 119.0), (154.0, 119.0), (153.0, 119.0), (152.0, 119.0), (151.0, 119.0), (150.0, 119.0), (149.0, 119.0), (148.0, 119.0), (147.0, 119.0), (146.0, 119.0), (145.0, 119.0), (144.0, 119.0), (143.0, 119.0), (142.0, 119.0), (141.0, 119.0), (140.0, 119.0), (139.0, 119.0), (139.0, 118.0)]"
"(139, 118)","(97, 118)","[(139.0, 118.0), (139.0, 117.0), (139.0, 116.0), (138.0, 116.0), (137.0, 116.0), (136.0, 116.0), (135.0, 116.0), (134.0, 116.0), (133.0, 116.0), (132.0, 116.0), (131.0, 116.0), (130.0, 116.0), (129.0, 116.0), (128.0, 116.0), (127.0, 116.0), (126.0, 116.0), (125.0, 116.0), (124.0, 116.0), (123.0, 116.0), (122.0, 116.0), (121.0, 116.0), (120.0, 116.0), (119.0, 116.0), (118.0, 116.0), (117.0, 116.0), (116.0, 116.0), (115.0, 116.0), (114.0, 116.0), (113.0, 116.0), (112.0, 116.0), (111.0, 116.0), (110.0, 116.0), (109.0, 116.0), (108.0, 116.0), (107.0, 116.0), (106.0, 116.0), (105.0, 116.0), (104.0, 116.0), (103.0, 116.0), (102.0, 116.0), (102.0, 117.0), (101.0, 117.0), (100.0, 117.0), (99.0, 117.0), (98.0, 117.0), (97.0, 117.0), (97.0, 118.0)]"
"(97, 118)","(165, 134)","[(97.0, 118.0), (97.0, 119.0), (97.0, 120.0), (97.0, 121.0), (97.0, 122.0), (97.0, 123.0), (97.0, 124.0), (97.0, 125.0), (97.0, 126.0), (97.0, 127.0), (97.0, 128.0), (97.0, 129.0), (97.0, 130.0), (97.0, 131.0), (98.0, 131.0), (99.0, 131.0), (100.0, 131.0), (101.0, 131.0), (102.0, 131.0), (103.0, 131.0), (104.0, 131.0), (104.0, 132.0), (105.0, 132.0), (106.0, 132.0), (107.0, 132.0), (108.0, 132.0), (109.0, 132.0), (110.0, 132.0), (111.0, 132.0), (112.0, 132.0), (113.0, 132.0), (114.0, 132.0), (115.0, 132.0), (116.0, 132.0), (117.0, 132.0), (118.0, 132.0), (119.0, 132.0), (120.0, 132.0), (121.0, 132.0), (122.0, 132.0), (123.0, 132.0), (124.0, 132.0), (125.0, 132.0), (126.0, 132.0), (127.0, 132.0), (128.0, 132.0), (129.0, 132.0), (130.0, 132.0), (130.0, 133.0), (131.0, 133.0), (132.0, 133.0), (133.0, 133.0), (134.0, 133.0), (135.0, 133.0), (136.0, 133.0), (137.0, 133.0), (138.0, 133.0), (139.0, 133.0), (140.0, 133.0), (141.0, 133.0), (142.0, 133.0), (143.0, 133.0), (144.0, 133.0), (145.0, 133.0), (146.0, 133.0), (147.0, 133.0), (148.0, 133.0), (148.0, 134.0), (149.0, 134.0), (150.0, 134.0), (151.0, 134.0), (152.0, 134.0), (153.0, 134.0), (154.0, 134.0), (155.0, 134.0), (156.0, 134.0), (157.0, 134.0), (158.0, 134.0), (159.0, 134.0), (160.0, 134.0), (161.0, 134.0), (162.0, 134.0), (163.0, 134.0), (164.0, 134.0), (165.0, 134.0)]"
